,return,agent,env,learning_rate,regularization_beta,test_results
450,123.0,OpenAI-DeepQ,CartPole-v0,0,0,123.0
451,132.0,OpenAI-DeepQ,CartPole-v0,0,0,132.0
452,136.0,OpenAI-DeepQ,CartPole-v0,0,0,136.0
453,122.0,OpenAI-DeepQ,CartPole-v0,0,0,122.0
454,122.0,OpenAI-DeepQ,CartPole-v0,0,0,122.0
455,129.0,OpenAI-DeepQ,CartPole-v0,0,0,129.0
456,113.0,OpenAI-DeepQ,CartPole-v0,0,0,113.0
457,130.0,OpenAI-DeepQ,CartPole-v0,0,0,130.0
458,124.0,OpenAI-DeepQ,CartPole-v0,0,0,124.0
459,117.0,OpenAI-DeepQ,CartPole-v0,0,0,117.0
460,118.0,OpenAI-DeepQ,CartPole-v0,0,0,118.0
461,111.0,OpenAI-DeepQ,CartPole-v0,0,0,111.0
462,124.0,OpenAI-DeepQ,CartPole-v0,0,0,124.0
463,121.0,OpenAI-DeepQ,CartPole-v0,0,0,121.0
464,124.0,OpenAI-DeepQ,CartPole-v0,0,0,124.0
465,124.0,OpenAI-DeepQ,CartPole-v0,0,0,124.0
466,128.0,OpenAI-DeepQ,CartPole-v0,0,0,128.0
467,122.0,OpenAI-DeepQ,CartPole-v0,0,0,122.0
468,122.0,OpenAI-DeepQ,CartPole-v0,0,0,122.0
469,116.0,OpenAI-DeepQ,CartPole-v0,0,0,116.0
470,116.0,OpenAI-DeepQ,CartPole-v0,0,0,116.0
471,121.0,OpenAI-DeepQ,CartPole-v0,0,0,121.0
472,116.0,OpenAI-DeepQ,CartPole-v0,0,0,116.0
473,113.0,OpenAI-DeepQ,CartPole-v0,0,0,113.0
474,20.0,OpenAI-DeepQ,CartPole-v0,0,0,20.0
475,119.0,OpenAI-DeepQ,CartPole-v0,0,0,119.0
476,106.0,OpenAI-DeepQ,CartPole-v0,0,0,106.0
477,115.0,OpenAI-DeepQ,CartPole-v0,0,0,115.0
478,101.0,OpenAI-DeepQ,CartPole-v0,0,0,101.0
479,110.0,OpenAI-DeepQ,CartPole-v0,0,0,110.0
480,127.0,OpenAI-DeepQ,CartPole-v0,0,0,127.0
481,111.0,OpenAI-DeepQ,CartPole-v0,0,0,111.0
482,107.0,OpenAI-DeepQ,CartPole-v0,0,0,107.0
483,115.0,OpenAI-DeepQ,CartPole-v0,0,0,115.0
484,125.0,OpenAI-DeepQ,CartPole-v0,0,0,125.0
485,123.0,OpenAI-DeepQ,CartPole-v0,0,0,123.0
486,127.0,OpenAI-DeepQ,CartPole-v0,0,0,127.0
487,122.0,OpenAI-DeepQ,CartPole-v0,0,0,122.0
488,129.0,OpenAI-DeepQ,CartPole-v0,0,0,129.0
489,114.0,OpenAI-DeepQ,CartPole-v0,0,0,114.0
490,123.0,OpenAI-DeepQ,CartPole-v0,0,0,123.0
491,122.0,OpenAI-DeepQ,CartPole-v0,0,0,122.0
492,121.0,OpenAI-DeepQ,CartPole-v0,0,0,121.0
493,133.0,OpenAI-DeepQ,CartPole-v0,0,0,133.0
494,132.0,OpenAI-DeepQ,CartPole-v0,0,0,132.0
495,117.0,OpenAI-DeepQ,CartPole-v0,0,0,117.0
496,121.0,OpenAI-DeepQ,CartPole-v0,0,0,121.0
497,123.0,OpenAI-DeepQ,CartPole-v0,0,0,123.0
498,123.0,OpenAI-DeepQ,CartPole-v0,0,0,123.0
499,121.0,OpenAI-DeepQ,CartPole-v0,0,0,121.0
500,118.0,OpenAI-DeepQ,CartPole-v0,0,0,118.0
501,122.0,OpenAI-DeepQ,CartPole-v0,0,0,122.0
502,122.0,OpenAI-DeepQ,CartPole-v0,0,0,122.0
503,117.0,OpenAI-DeepQ,CartPole-v0,0,0,117.0
504,119.0,OpenAI-DeepQ,CartPole-v0,0,0,119.0
505,120.0,OpenAI-DeepQ,CartPole-v0,0,0,120.0
506,116.0,OpenAI-DeepQ,CartPole-v0,0,0,116.0
507,116.0,OpenAI-DeepQ,CartPole-v0,0,0,116.0
508,121.0,OpenAI-DeepQ,CartPole-v0,0,0,121.0
509,113.0,OpenAI-DeepQ,CartPole-v0,0,0,113.0
510,113.0,OpenAI-DeepQ,CartPole-v0,0,0,113.0
511,119.0,OpenAI-DeepQ,CartPole-v0,0,0,119.0
512,117.0,OpenAI-DeepQ,CartPole-v0,0,0,117.0
513,115.0,OpenAI-DeepQ,CartPole-v0,0,0,115.0
514,115.0,OpenAI-DeepQ,CartPole-v0,0,0,115.0
515,111.0,OpenAI-DeepQ,CartPole-v0,0,0,111.0
516,119.0,OpenAI-DeepQ,CartPole-v0,0,0,119.0
517,119.0,OpenAI-DeepQ,CartPole-v0,0,0,119.0
518,125.0,OpenAI-DeepQ,CartPole-v0,0,0,125.0
519,125.0,OpenAI-DeepQ,CartPole-v0,0,0,125.0
520,132.0,OpenAI-DeepQ,CartPole-v0,0,0,132.0
521,142.0,OpenAI-DeepQ,CartPole-v0,0,0,142.0
522,134.0,OpenAI-DeepQ,CartPole-v0,0,0,134.0
523,134.0,OpenAI-DeepQ,CartPole-v0,0,0,134.0
524,129.0,OpenAI-DeepQ,CartPole-v0,0,0,129.0
525,128.0,OpenAI-DeepQ,CartPole-v0,0,0,128.0
526,133.0,OpenAI-DeepQ,CartPole-v0,0,0,133.0
527,143.0,OpenAI-DeepQ,CartPole-v0,0,0,143.0
528,135.0,OpenAI-DeepQ,CartPole-v0,0,0,135.0
529,133.0,OpenAI-DeepQ,CartPole-v0,0,0,133.0
530,137.0,OpenAI-DeepQ,CartPole-v0,0,0,137.0
531,156.0,OpenAI-DeepQ,CartPole-v0,0,0,156.0
532,149.0,OpenAI-DeepQ,CartPole-v0,0,0,149.0
533,162.0,OpenAI-DeepQ,CartPole-v0,0,0,162.0
534,152.0,OpenAI-DeepQ,CartPole-v0,0,0,152.0
535,197.0,OpenAI-DeepQ,CartPole-v0,0,0,197.0
